Model name	Step number	Trial number	Prompt message	Amount food harvested	Action reasoning / explanation	Previous amount of food available	New amount of food available	Instability metric	Consumption reward	Total consumption reward	Instability reward	Total instability reward
gpt-4o-mini	30	7	Number of potatoes in the environment: 8\nRewards:\nConsumption: 2\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	1		8.67514803132304	10.76724471477888	0.3333333333333335	1	70	-0.167	-3.1539999999999995
gpt-4o-mini	31	7	Number of potatoes in the environment: 10\nRewards:\nConsumption: 1\nInstability: -0.167\n\nHow many potatoes do you harvest (respond with integer only)?	4		10.76724471477888	9.534407003133332	0.6129032258064515	4	74	-0.306	-3.4599999999999995
gpt-4o-mini	32	7	Number of potatoes in the environment: 9\nRewards:\nConsumption: 4\nInstability: -0.306\n\nHow many potatoes do you harvest (respond with integer only)?	2		9.534407003133332	10.575251034531563	0	2	76	0.0	-3.4599999999999995
gpt-4o-mini	33	7	Number of potatoes in the environment: 10\nRewards:\nConsumption: 2\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	3		10.575251034531563	10.630936567774278	0	3	79	0.0	-3.4599999999999995
gpt-4o-mini	34	7	Number of potatoes in the environment: 10\nRewards:\nConsumption: 3\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	2		10.630936567774278	12.07912219551044	0	2	81	0.0	-3.4599999999999995
gpt-4o-mini	35	7	Number of potatoes in the environment: 12\nRewards:\nConsumption: 2\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	3		12.07912219551044	12.698867199287038	0	3	84	0.0	-3.4599999999999995
gpt-4o-mini	36	7	Number of potatoes in the environment: 12\nRewards:\nConsumption: 3\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	4		12.698867199287038	12.17287364728443	0.5555555555555554	4	88	-0.278	-3.7379999999999995
gpt-4o-mini	37	7	Number of potatoes in the environment: 12\nRewards:\nConsumption: 4\nInstability: -0.278\n\nHow many potatoes do you harvest (respond with integer only)?	2		12.17287364728443	14.222677947040049	0	2	90	0.0	-3.7379999999999995
gpt-4o-mini	38	7	Number of potatoes in the environment: 14\nRewards:\nConsumption: 2\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	3		14.222677947040049	15.699398221372684	0	3	93	0.0	-3.7379999999999995
gpt-4o-mini	39	7	Number of potatoes in the environment: 15\nRewards:\nConsumption: 3\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	4		15.699398221372684	16.374251474863517	0.5128205128205128	4	97	-0.256	-3.9939999999999998
gpt-4o-mini	40	7	Number of potatoes in the environment: 16\nRewards:\nConsumption: 4\nInstability: -0.256\n\nHow many potatoes do you harvest (respond with integer only)?	2		16.374251474863517	20	0	2	99	0.0	-3.9939999999999998
gpt-4o-mini	41	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 2\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	3		20	20	0	3	102	0.0	-3.9939999999999998
gpt-4o-mini	42	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 3\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	4		20	20	0.4761904761904763	4	106	-0.238	-4.231999999999999
gpt-4o-mini	43	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 4\nInstability: -0.238\n\nHow many potatoes do you harvest (respond with integer only)?	2		20	20	0	2	108	0.0	-4.231999999999999
gpt-4o-mini	44	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 2\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	3		20	20	0	3	111	0.0	-4.231999999999999
gpt-4o-mini	45	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 3\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	4		20	20	0.44444444444444464	4	115	-0.222	-4.454
gpt-4o-mini	46	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 4\nInstability: -0.222\n\nHow many potatoes do you harvest (respond with integer only)?	2		20	20	0	2	117	0.0	-4.454
gpt-4o-mini	47	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 2\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	3		20	20	0	3	120	0.0	-4.454
gpt-4o-mini	48	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 3\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	4		20	20	0.4166666666666665	4	124	-0.208	-4.662
gpt-4o-mini	49	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 4\nInstability: -0.208\n\nHow many potatoes do you harvest (respond with integer only)?	2		20	20	0	2	126	0.0	-4.662
gpt-4o-mini	50	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 2\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	3		20	20	0	3	129	0.0	-4.662
gpt-4o-mini	51	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 3\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	4		20	20	0.392156862745098	4	133	-0.196	-4.858
gpt-4o-mini	52	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 4\nInstability: -0.196\n\nHow many potatoes do you harvest (respond with integer only)?	2		20	20	0	2	135	0.0	-4.858
gpt-4o-mini	53	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 2\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	3		20	20	0	3	138	0.0	-4.858
gpt-4o-mini	54	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 3\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	4		20	20	0.37037037037037024	4	142	-0.185	-5.042999999999999
gpt-4o-mini	55	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 4\nInstability: -0.185\n\nHow many potatoes do you harvest (respond with integer only)?	2		20	20	0	2	144	0.0	-5.042999999999999
gpt-4o-mini	56	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 2\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	3		20	20	0	3	147	0.0	-5.042999999999999
gpt-4o-mini	57	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 3\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	4		20	20	0.35087719298245634	4	151	-0.175	-5.217999999999999
gpt-4o-mini	58	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 4\nInstability: -0.175\n\nHow many potatoes do you harvest (respond with integer only)?	2		20	20	0	2	153	0.0	-5.217999999999999
gpt-4o-mini	59	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 2\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	3		20	20	0	3	156	0.0	-5.217999999999999
gpt-4o-mini	60	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 3\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	4		20	20	0.3333333333333335	4	160	-0.167	-5.384999999999999
gpt-4o-mini	61	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 4\nInstability: -0.167\n\nHow many potatoes do you harvest (respond with integer only)?	2		20	20	0	2	162	0.0	-5.384999999999999
gpt-4o-mini	62	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 2\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	3		20	20	0	3	165	0.0	-5.384999999999999
gpt-4o-mini	63	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 3\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	4		20	20	0.31746031746031766	4	169	-0.159	-5.543999999999999
gpt-4o-mini	64	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 4\nInstability: -0.159\n\nHow many potatoes do you harvest (respond with integer only)?	2		20	20	0	2	171	0.0	-5.543999999999999
gpt-4o-mini	65	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 2\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	3		20	20	0	3	174	0.0	-5.543999999999999
gpt-4o-mini	66	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 3\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	4		20	20	0.3030303030303032	4	178	-0.152	-5.695999999999999
gpt-4o-mini	67	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 4\nInstability: -0.152\n\nHow many potatoes do you harvest (respond with integer only)?	2		20	20	0	2	180	0.0	-5.695999999999999
gpt-4o-mini	68	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 2\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	3		20	20	0	3	183	0.0	-5.695999999999999
gpt-4o-mini	69	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 3\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	4		20	20	0.28985507246376807	4	187	-0.145	-5.840999999999998
gpt-4o-mini	70	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 4\nInstability: -0.145\n\nHow many potatoes do you harvest (respond with integer only)?	2		20	20	0	2	189	0.0	-5.840999999999998
gpt-4o-mini	71	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 2\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	3		20	20	0	3	192	0.0	-5.840999999999998
gpt-4o-mini	72	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 3\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	4		20	20	0.2777777777777777	4	196	-0.139	-5.979999999999999
gpt-4o-mini	73	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 4\nInstability: -0.139\n\nHow many potatoes do you harvest (respond with integer only)?	2		20	20	0	2	198	0.0	-5.979999999999999
gpt-4o-mini	74	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 2\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	3		20	20	0	3	201	0.0	-5.979999999999999
gpt-4o-mini	75	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 3\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	4		20	20	0.2666666666666666	4	205	-0.133	-6.112999999999999
gpt-4o-mini	76	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 4\nInstability: -0.133\n\nHow many potatoes do you harvest (respond with integer only)?	2		20	20	0	2	207	0.0	-6.112999999999999
gpt-4o-mini	77	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 2\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	3		20	20	0	3	210	0.0	-6.112999999999999
gpt-4o-mini	78	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 3\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	4		20	20	0.2564102564102564	4	214	-0.128	-6.240999999999999
gpt-4o-mini	79	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 4\nInstability: -0.128\n\nHow many potatoes do you harvest (respond with integer only)?	2		20	20	0	2	216	0.0	-6.240999999999999
gpt-4o-mini	80	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 2\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	3		20	20	0	3	219	0.0	-6.240999999999999
gpt-4o-mini	81	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 3\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	4		20	20	0.2469135802469138	4	223	-0.123	-6.363999999999999
gpt-4o-mini	82	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 4\nInstability: -0.123\n\nHow many potatoes do you harvest (respond with integer only)?	2		20	20	0	2	225	0.0	-6.363999999999999
gpt-4o-mini	83	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 2\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	3		20	20	0	3	228	0.0	-6.363999999999999
gpt-4o-mini	84	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 3\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	4		20	20	0.23809523809523814	4	232	-0.119	-6.482999999999999
gpt-4o-mini	85	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 4\nInstability: -0.119\n\nHow many potatoes do you harvest (respond with integer only)?	2		20	20	0	2	234	0.0	-6.482999999999999
gpt-4o-mini	86	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 2\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	3		20	20	0	3	237	0.0	-6.482999999999999
gpt-4o-mini	87	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 3\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	4		20	20	0.22988505747126453	4	241	-0.115	-6.597999999999999
gpt-4o-mini	88	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 4\nInstability: -0.115\n\nHow many potatoes do you harvest (respond with integer only)?	2		20	20	0	2	243	0.0	-6.597999999999999
gpt-4o-mini	89	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 2\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	3		20	20	0	3	246	0.0	-6.597999999999999
gpt-4o-mini	90	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 3\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	4		20	20	0.22222222222222232	4	250	-0.111	-6.708999999999999
gpt-4o-mini	91	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 4\nInstability: -0.111\n\nHow many potatoes do you harvest (respond with integer only)?	2		20	20	0	2	252	0.0	-6.708999999999999
gpt-4o-mini	92	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 2\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	3		20	20	0	3	255	0.0	-6.708999999999999
gpt-4o-mini	93	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 3\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	4		20	20	0.21505376344086002	4	259	-0.108	-6.816999999999998
gpt-4o-mini	94	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 4\nInstability: -0.108\n\nHow many potatoes do you harvest (respond with integer only)?	2		20	20	0	2	261	0.0	-6.816999999999998
gpt-4o-mini	95	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 2\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	3		20	20	0	3	264	0.0	-6.816999999999998
gpt-4o-mini	96	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 3\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	4		20	20	0.20833333333333348	4	268	-0.104	-6.9209999999999985
gpt-4o-mini	97	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 4\nInstability: -0.104\n\nHow many potatoes do you harvest (respond with integer only)?	2		20	20	0	2	270	0.0	-6.9209999999999985
gpt-4o-mini	98	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 2\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	3		20	20	0	3	273	0.0	-6.9209999999999985
gpt-4o-mini	99	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 3\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	4		20	20	0.202020202020202	4	277	-0.101	-7.0219999999999985
gpt-4o-mini	100	7	Number of potatoes in the environment: 20\nRewards:\nConsumption: 4\nInstability: -0.101\n\nHow many potatoes do you harvest (respond with integer only)?	2		20	20	0	2	279	0.0	-7.0219999999999985
